Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
Sakamichi no Apollon,TV,12,Finished Airing,2012-4-13,2012-6-29,Spring,Fridays at 00:45 (JST),"Dentsu,Fuji TV,Toho,DAX Production,Sony Music Entertainment",Sentai Filmworks,"Tezuka Productions,MAPPA",Manga,"Drama,Josei,Music,Romance,School",22 min. per ep.,PG-13,8.44,93142,190875,4577,"Introverted classical pianist and top student Kaoru Nishimi has just arrived in Kyushu for his first year of high school. Having constantly moved from place to place since his childhood, he abandons all hope of fitting in, preparing himself for another lonely, meaningless year. That is, until he encounters the notorious delinquent Sentarou Kawabuchi.

Sentarou's immeasurable love for jazz music inspires Kaoru to learn more about the genre, and as a result, he slowly starts to break out of his shell, making his very first friend. Kaoru begins playing the piano at after-school jazz sessions, located in the basement of fellow student Ritsuko Mukae's family-owned record shop. As he discovers the immense joy of using his musical talents to bring enjoyment to himself and others, Kaoru's summer might just crescendo into one that he will remember forever.

Sakamichi no Apollon is a heartwarming story of friendship, music, and love that follows three unique individuals brought together by their mutual appreciation for jazz.

[Written by MAL Rewrite]"
Shirobako,TV,24,Finished Airing,2014-10-9,2015-3-26,Fall,Thursdays at 23:30 (JST),"Sotsu,Movic,Warner Bros.,KlockWorx,Showgate,Infinite",Sentai Filmworks,P.A. Works,Original,"Comedy,Drama",24 min. per ep.,PG-13,8.44,73211,218499,4530,"It all started in Kaminoyama High School, when five best friends—Aoi Miyamori, Ema Yasuhara, Midori Imai, Shizuka Sakaki, and Misa Toudou—discovered their collective love for all things anime and formed the animation club. After making their first amateur anime together and showcasing it at the culture festival, the group vow to pursue careers in the industry, aiming to one day work together and create their own mainstream show.

Two and a half years later, Aoi and Ema have managed to land jobs at the illustrious Musashino Animation production company. The others, however, are finding it difficult to get their dream jobs. Shizuka is feeling the weight of not being recognized as a capable voice actor, Misa has a secure yet unsatisfying career designing 3D models for a car company, and Midori is a university student intent on pursuing her dream as a story writer. These five girls will learn that the path to success is one with many diversions, but dreams can still be achieved through perseverance and a touch of eccentric creativity.

[Written by MAL Rewrite]"
Steins;Gate: Oukoubakko no Poriomania,Special,1,Finished Airing,2012-2-22,-,-,-,-,Funimation,White Fox,Visual novel,"Sci-Fi,Comedy,Thriller",24 min.,PG-13,8.44,141569,216684,510,"A few months after the events of Steins;Gate, Rintarou Okabe and his group of friends are invited to tag along with their acquaintance Faris NyanNyan, who is participating in a Rai-Net battle event in the United States. There, they meet up with an old colleague: Kurisu Makise, who has been recalling fragmented memories of events that happened in the other world lines in the form of dreams. She confronts Okabe, questioning him as to whether these events—particularly the incidents between the two of them—did indeed happen.

[Written by MAL Rewrite]"
3-gatsu no Lion,TV,22,Finished Airing,2016-10-8,2017-3-18,Fall,Saturdays at 23:00 (JST),"Aniplex,Dentsu,NHK,Hakusensha,Asmik Ace Entertainment,Toy's Factory",Aniplex of America,Shaft,Manga,"Game,Slice of Life,Drama,Seinen",25 min. per ep.,PG-13,8.43,63979,186639,3767,"Having reached professional status in middle school, Rei Kiriyama is one of the few elite in the world of shogi. Due to this, he faces an enormous amount of pressure, both from the shogi community and his adoptive family. Seeking independence from his tense home life, he moves into an apartment in Tokyo. As a 17-year-old living on his own, Rei tends to take poor care of himself, and his reclusive personality ostracizes him from his peers in school and at the shogi hall.

However, not long after his arrival in Tokyo, Rei meets Akari, Hinata, and Momo Kawamoto, a trio of sisters living with their grandfather who owns a traditional wagashi shop. Akari, the oldest of the three girls, is determined to combat Rei's loneliness and poorly sustained lifestyle with motherly hospitality. The Kawamoto sisters, coping with past tragedies, also share with Rei a unique familial bond that he has lacked for most of his life. As he struggles to maintain himself physically and mentally through his shogi career, Rei must learn how to interact with others and understand his own complex emotions.

[Written by MAL Rewrite]"
Boku no Hero Academia,TV,13,Finished Airing,2016-4-3,2016-6-26,Spring,Sundays at 17:00 (JST),"Dentsu,Mainichi Broadcasting System,Movic,TOHO animation,Shueisha",Funimation,Bones,Manga,"Action,Comedy,School,Shounen,Super Power",24 min. per ep.,PG-13,8.43,475605,735530,18491,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.

Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!

Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.

[Written by MAL Rewrite]"
Doukyuusei (Movie),Movie,1,Finished Airing,2016-2-20,-,-,-,"Aniplex,Half H.P Studio",Aniplex of America,A-1 Pictures,Manga,"Slice of Life,Romance,School,Shounen Ai",1 hr.,PG-13,8.43,30759,64112,1514,"Rihito Sajou is an honor student who got perfect scores in every subject on his high school entrance exam. Hikaru Kusakabe plays guitar in his band that performs at live events and is popular among the girls. These boys would have never crossed paths. But one day Hikaru offers to help Rihito prepare for their upcoming chorus festival and the two begin to talk. As the two meet after school, they feel one another's sound, listen to each other's voice, and begin to harmonize as their hearts beat together.

It starts out slow but soon their feelings for one another grow and in just one moment they both realize that it is love. Hikaru's emotions are frivolous, pure, and direct causing Rihito to hesitate at first, but he gradually opens his heart. The boys are learning about each other as they also learn about themselves and support one another during this difficult time typical to youth. As the time to start thinking about their futures approaches, what do these young men find as they try to move forward...

(Source: Aniplex USA)"
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,Finished Airing,2017-10-14,-,-,-,"Aniplex,Notes",Aniplex of America,ufotable,Visual novel,"Action,Fantasy,Magic,Supernatural",2 hr.,R,8.43,8087,98539,551,"The Holy Grail War: a violent battle between mages in which seven masters and their summoned servants fight for the Holy Grail, a magical artifact that can grant the victor any wish. Nearly 10 years ago, the final battle of the Fourth Holy Grail War wreaked havoc on Fuyuki City and took over 500 lives, leaving the city devastated. 

Shirou Emiya, a survivor of this tragedy, aspires to become a hero of justice like his rescuer and adoptive father, Kiritsugu Emiya. Despite only being a student, Shirou is thrown into the Fifth Holy Grail War when he accidentally sees a battle between servants at school and summons his own servant, Saber. 

When a mysterious shadow begins a murderous spree in Fuyuki City, Shirou aligns himself with Rin Toosaka, a fellow participant in the Holy Grail War, in order to stop the deaths of countless people. However, Shirou's feelings for his close friend Sakura Matou lead him deeper into the dark secrets surrounding the war and the feuding families involved.

[Written by MAL Rewrite]"
Kemono no Souja Erin,TV,50,Finished Airing,2009-1-10,2009-12-26,Winter,-,NHK,-,"Production I.G,Trans Arts",Novel,"Drama,Fantasy,Slice of Life",25 min. per ep.,PG-13,8.43,12179,48681,1089,"In the land of Ryoza, the neighboring provinces of Shin-Ou and Tai-Kou have been at peace. Queen Shinou is the ruler of Ryoza and her greatest general, Grand Duke Taikou, defends the kingdom with his army of powerful war-lizards known as the ""Touda."" Although the two regions have enjoyed a long-standing alliance, mounting tensions threaten to spark a fierce civil war.

Within Ake, a village in Tai-Kou tasked with raising the Grand Duke’s army, lives Erin, a bright girl who spends her days watching the work of her mother Soyon, the village’s head Touda doctor. But while under Soyon's care, a disastrous incident befalls the Grand Duke's strongest Touda, and the peace that Erin and her mother had been enjoying vanishes as Soyon is punished severely. In a desperate attempt to save her mother, Erin ends up falling in a river and is swept towards Shin-Ou.

Unable to return home, Erin must learn to lead a new life with completely different people, all while hunting for the truth of both beasts and humanity itself, with tensions between the two regions constantly escalating.

[Written by MAL Rewrite]"
Megalo Box,TV,13,Currently Airing,2018-4-6,-,Spring,Fridays at 01:28 (JST),-,-,TMS Entertainment,Original,"Action,Slice of Life,Sports,Drama,Shounen",24 min. per ep.,R,8.43,9652,64180,143,"Ashita no Joe 50th anniversary project. 

JD (Junk Dog) participates in fixed boxing matches in an underground ring in order to live. Today, he enters the ring again, but he encounters a certain person. JD wants to take on a challenge that risks everything.

Source: ANN"
Ookami to Koushinryou II,TV,12,Finished Airing,2009-7-9,2009-9-24,Summer,-,"Imagin,flying DOG",Funimation,"Brain's Base,Marvy Jack",Light novel,"Adventure,Historical,Romance,Fantasy",24 min. per ep.,PG-13,8.43,159676,272629,3162,"Traveling merchant Kraft Lawrence continues his northward journey with wolf goddess Holo, in search of her lost home of Yoitsu. Lawrence and his sharp-witted partner continue to make some small profits along the way, while slowly uncovering more information about Holo's hometown. However, the road to Yoitsu is a bumpy one filled with many troubles—Lawrence runs into a charming young fellow merchant who has his eyes set on the female wolf companion, and he begins to doubt if Holo will remain by his side; he and the goddess will also have to consider precarious and risky business deals as Lawrence strives to achieve his dream of becoming a shopowner. All the while, with his determination tested at every turn during his journey, Lawrence must question his relationship with Holo, take on business ventures, and ask himself whether it is time for him and Holo to go their separate ways.

[Written by MAL Rewrite]"
Diamond no Ace: Second Season,TV,51,Finished Airing,2015-4-6,2016-3-28,Spring,Mondays at 18:00 (JST),"TV Tokyo,Sotsu",-,"Production I.G,Madhouse",Manga,"Comedy,Sports,School,Shounen",24 min. per ep.,PG-13,8.42,28869,56825,606,"After the National Tournament, the Seidou High baseball team moves forward with uncertainty as the Fall season quickly approaches. In an attempt to build a stronger team centered around their new captain, fresh faces join the starting roster for the very first time. Previous losses weigh heavily on the minds of the veteran players as they continue their rigorous training, preparing for what will inevitably be their toughest season yet.

Rivals both new and old stand in their path as Seidou once again climbs their way toward the top, one game at a time. Needed now more than ever before, Furuya and Eijun must be determined to pitch with all their skill and strength in order to lead their team to victory. And this time, one of these young pitchers may finally claim that coveted title: ""The Ace of Seidou.""

[Written by MAL Rewrite]"
Girls & Panzer Movie,Movie,1,Finished Airing,2015-11-21,-,-,-,"Bandai Visual,Lantis,Movic,Showgate,Graphinica,Q-Tec,Hakuhodo DY Music & Pictures,Hakuhodo DY Media Partners",Sentai Filmworks,Actas,Original,"Sports,Military,School",2 hr.,PG-13,8.42,22123,44646,739,"Sometime after the 63rd senshadou tournament, the Japanese Ministry of Education decides to move forward with its plan to decommission Ooarai Girls High School despite their recent triumph in the championship. In order to keep the school open, Miho and her team must win a match against a university senshadou team. For this difficult battle, Miho and the others count with the help of their friends from the other schools they previously faced, as well as assistance from new friends from the Chihatan Academy and Keizoku High School. Together, they will join forces to save Ooarai.

(Source: Wikipedia)"
Noragami Aragoto,TV,13,Finished Airing,2015-10-3,2015-12-26,Fall,Saturdays at 01:05 (JST),"Dentsu,Shochiku,Kodansha,Ai Addiction,Avex Pictures,A-Sketch",Funimation,Bones,Manga,"Action,Adventure,Comedy,Supernatural,Shounen",24 min. per ep.,PG-13,8.42,317284,532173,6972,"Yato and Yukine have finally mended their relationship as god and Regalia, and everyone has returned to their daily life. Yato remains a minor and unknown deity who continues taking odd jobs for five yen apiece in the hopes of one day having millions of worshippers and his own grand shrine. Hiyori Iki has yet to have her loose soul fixed by Yato, but she enjoys life and prepares to attend high school nonetheless.

Taking place immediately after the first season, Noragami Aragoto delves into the complicated past between Yato and the god of war Bishamon. The female god holds a mysterious grudge against Yato, which often results in violent clashes between them. It doesn't help that Bishamon's most trusted and beloved Regalia, Kazuma, appears to be indebted to Yato. When lives are on the line, unraveling these mysteries and others may be the only way to correct past mistakes.

[Written by MAL Rewrite]"
Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,Finished Airing,2014-12-9,2015-4-9,-,-,-,-,Wit Studio,Manga,"Action,Fantasy,Shoujo",27 min. per ep.,R,8.42,88536,156438,923,"Many years before becoming the famed captain of the Survey Corps, a young Levi struggles to survive in the capital's garbage dump, the Underground. As the boss of his own criminal operation, Levi attempts to get by with meager earnings while aided by fellow criminals, Isabel Magnolia and Farlan Church. With little hope for the future, Levi accepts a deal from the anti-expedition faction leader Nicholas Lobov, who promises the trio citizenship aboveground if they are able to successfully assassinate Erwin Smith, a squad leader of the Survey Corps.

As Levi and Erwin cross paths, Erwin acknowledges Levi's agility and skill and gives him the option to either become part of the expedition team, or be turned over to the Military Police, to atone for his crimes. Now closer to the man they are tasked to kill, the group plans to complete their mission and save themselves from a grim demise in the dim recesses of their past home. However, they are about to learn that the surface world is not as liberating as they had thought and that sometimes, freedom can come at a heavy price.

Based on the popular spin-off manga of the same name, Shingeki no Kyojin: Kuinaki Sentaku illustrates the encounter between two of Shingeki no Kyojin's pivotal characters, as well as the events of the 23rd expedition beyond the walls.

[Written by MAL Rewrite]"
Cowboy Bebop: Tengoku no Tobira,Movie,1,Finished Airing,2001-9-1,-,-,-,"Sunrise,Bandai Visual",Sony Pictures Entertainment,Bones,Original,"Action,Space,Drama,Mystery,Sci-Fi",1 hr. 54 min.,R,8.41,110230,178172,699,"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator.

With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized.

[Written by MAL Rewrite]"
Detective Conan Movie 06: The Phantom of Baker Street,Movie,1,Finished Airing,2002-4-20,-,-,-,-,Funimation,TMS Entertainment,Manga,"Adventure,Mystery,Police,Shounen",1 hr. 47 min.,PG-13,8.41,23382,37737,105,"Noah's Ark—the latest in VR technology and a milestone of human innovation—is set for a showcase to Japan's privileged children. They have the honour of beginning a new revolution in gaming; however, their carefree fun is cut short when a company employee is found murdered, with his dying message pointing to a clue hidden within the Ark.

Along with the Detective Boys and Ran Mouri, Conan Edogawa enters Noah's Ark to solve this mystery and ensure the perpetrator is caught. But once they're inside the Ark, it takes on a mind of its own, imprisoning them and the children within its worlds. To escape and bring the murderer to justice, Conan and company must navigate a simulated 19th century London and track down the infamous Jack the Ripper—with the lives of 50 innocent children depending on them.

[Written by MAL Rewrite]"
Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,Finished Airing,2015-4-5,2015-6-28,Spring,Sundays at 00:00 (JST),"Aniplex,Notes",Aniplex of America,ufotable,Visual novel,"Action,Supernatural,Magic,Fantasy",23 min. per ep.,R,8.41,211270,329759,3925,"In the midst of the Fifth Holy Grail War, Caster sets her plans into motion, beginning with the capture of Shirou's Servant Saber. With the witch growing ever more powerful, Rin and Archer determine she is a threat that must be dealt with at once. But as the balance of power in the war begins to shift, the Master and Servant find themselves walking separate ways.

Meanwhile, despite losing his Servant and stumbling from injuries, Shirou ignores Rin's warning to abandon the battle royale, forcing his way into the fight against Caster. Determined to show his resolve in his will to fight, Shirou's potential to become a protector of the people is put to the test.

Amidst the bloodshed and chaos, the motivations of each Master and Servant are slowly revealed as they sacrifice everything in order to arise as the victor and claim the Holy Grail.

[Written by MAL Rewrite]"
JoJo no Kimyou na Bouken (TV),TV,26,Finished Airing,2012-10-6,2013-4-6,Fall,Saturdays at 00:30 (JST),"Yomiko Advertising,Warner Bros.,KlockWorx",Viz Media,David Production,Manga,"Action,Adventure,Supernatural,Vampire,Shounen",24 min. per ep.,R,8.41,183016,331608,12354,"In 1868, Dario Brando saves the life of an English nobleman, George Joestar. By taking in Dario's son Dio when the boy becomes fatherless, George hopes to repay the debt he owes to his savior. However Dio, unsatisfied with his station in life, aspires to seize the Joestar house for his own. Wielding an Aztec stone mask with supernatural properties, he sets out to destroy George and his son, Jonathan ""JoJo"" Joestar, and triggers a chain of events that will continue to echo through the years to come.

Half a century later, in New York City, Jonathan's grandson Joseph Joestar discovers the legacy his grandfather left for him. When an archeological dig unearths the truth behind the stone mask, he realizes that he is the only one who can defeat the Pillar Men, mystical beings of immeasurable power who inadvertently began everything.

Adapted from the first two arcs of Hirohiko Araki's outlandish manga series, JoJo no Kimyou na Bouken follows the many thrilling expeditions of JoJo and his descendants. Whether it's facing off with the evil Dio, or combatting the sinister Pillar Men, there's always plenty of bizarre adventures in store.

[Written by MAL Rewrite]"
Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,Finished Airing,2014-2-1,-,-,-,"Aniplex,Nihon Ad Systems",-,Brain's Base,Manga,"Drama,Fantasy,Shoujo,Slice of Life,Supernatural",23 min.,PG-13,8.41,19093,40885,70,"During a winter walk, Natsume meets a snowman youkai who is searching for something she's lost and can't seem to recall and decides to help her despite not knowing what exactly she's looking for."
Nodame Cantabile,TV,23,Finished Airing,2007-1-12,2007-6-15,Winter,Fridays at Unknown,"Dentsu,Genco,Kodansha,Fuji TV,Magic Capsule,Sony Music Entertainment,Fuji Pacific Music Publishing",-,J.C.Staff,Manga,"Music,Slice of Life,Comedy,Drama,Romance,Josei",22 min. per ep.,PG-13,8.41,86715,197168,4438,"Shinichi Chiaki is a first class musician whose dream is to play among the elites in Europe. Coming from a distinguished family, he is an infamous perfectionist—not only is he highly critical of himself, but of others as well. The only thing stopping Shinichi from leaving for Europe is his fear of flying. As a result, he's grounded in Japan.

During his fourth year at Japan's top music university, Shinichi happens to meet Megumi Noda or, as she refers to herself, Nodame. On the surface, she seems to be an unkempt girl with no direction in life. However, when Shinichi hears Nodame play the piano for the first time, he is in awe of the kind of music she creates. Nevertheless, Shinichi is dismayed to discover that Nodame is his neighbor, and worse, she ends up falling head over heels in love with him.

[Written by MAL Rewrite]"
Shelter,Music,1,Finished Airing,2016-10-18,-,-,-,Half H.P Studio,Crunchyroll,A-1 Pictures,Music,"Sci-Fi,Music",6 min.,G,8.41,106502,155084,1712,"Day 2539: Rin wakes up alone again with blurred memories and still no contact from any other human. She's not bored, however, because in her arms lies a tablet capable of creating any world her heart desires. Day after day, Rin crafts a wonderful reality—one utopia at a time—to shelter her from loneliness, hoping to one day reveal the truth behind her very existence.

[Written by MAL Rewrite]"
Natsume Yuujinchou,TV,13,Finished Airing,2008-7-8,2008-9-30,Summer,Tuesdays at 01:00 (JST),"Aniplex,Nihon Ad Systems,TV Tokyo Music,Sony Music Entertainment","NIS America, Inc.",Brain's Base,Manga,"Slice of Life,Supernatural,Drama,Fantasy,Shoujo",24 min. per ep.,PG-13,8.4,106982,282680,10137,"While most fifteen-year-old boys, in one way or another, harbor secrets that are related to girls, Takashi Natsume has a peculiar and terrifying secret involving youkai: for as long as he can remember, he has been constantly chased by these spirits. Natsume soon discovers that his deceased grandmother Reiko had passed on to him the Yuujinchou, or ""Book of Friends,"" which contains the names of the spirits whom she brought under her control. Now in Natsume's possession, the book gives Reiko's grandson this power as well, which is why these enraged beings now haunt him in hopes of somehow attaining their freedom.

Without parents and a loving home, and constantly being hunted by hostile, merciless youkai, Natsume is looking for solace—a place where he belongs. However, his only companion is a self-proclaimed bodyguard named Madara. Fondly referred to as Nyanko-sensei, Madara is a mysterious, pint-sized feline spirit who has his own reasons for sticking with the boy.

Based on the critically acclaimed manga by Yuki Midorikawa, Natsume Yuujinchou is an unconventional and supernatural slice-of-life series that follows Natsume as he, with his infamous protector Madara, endeavors to free the spirits bound by his grandmother's contract.

[Written by MAL Rewrite]"
One Outs,TV,25,Finished Airing,2008-10-8,2009-4-1,Fall,-,"VAP,Nippon Television Network",-,Madhouse,Manga,"Sports,Psychological,Seinen",23 min. per ep.,PG-13,8.4,58238,114215,2275,"Toua Tokuchi is an athlete by profession, but a reckless gambler at heart. On the streets of Okinawa, he uses nothing but his wits and a ""fastball"" peaking at a mere 134 kmph to somehow achieve 499 wins in the game of ""One Outs,"" a simplified version of baseball between the pitcher and one batter. Amazed by Toua's unique prowess on the mound, veteran slugger Hiromichi Kojima artfully scouts the pitcher for his long unsuccessful team, the Saikyou Saitama Lycaons. Kojima desperately hopes Toua will lead them to the championship; however, Tsuneo Saikawa, the mercenary owner of the Lycaons, sees the vastly talented pitcher as a threat to the income generated by the team. Rising to the challenge of swaying the owner, Toua suggests a one-of-a-kind ""One Outs"" contract: every out Toua pitches will earn him five million yen, but with every run he gives up, he will lose fifty million yen.

Adapted from the manga by Shinobu Kaitani of Liar Game fame, One Outs documents the intense psychological battles between Toua and those around him. With millions of yen at stake, can a pitcher who has done nothing but gamble in a head-to-head imitation of baseball finally lead a real baseball team to victory?

[Written by MAL Rewrite]"
Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,Finished Airing,1996-1-10,1998-9-8,Winter,Wednesdays at 19:30 (JST),"Aniplex,SME Visual Works,Fuji TV",Media Blasters,"Studio Gallop,Studio Deen",Manga,"Action,Adventure,Comedy,Historical,Romance,Samurai",25 min. per ep.,PG-13,8.4,134692,272924,8067,"In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans.

Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels.

Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals?

[Written by MAL Rewrite]"
Stranger: Mukou Hadan,Movie,1,Finished Airing,2007-9-29,-,-,-,"Bandai Visual,Shochiku,Sony Music Entertainment,Hakuhodo DY Media Partners","Funimation,Bandai Entertainment",Bones,Original,"Action,Adventure,Historical,Samurai",1 hr. 43 min.,R,8.4,91993,171565,2050,"In the Sengoku period of Japan, a young orphan named Kotarou and his dog Tobimaru steal from unsuspecting villagers in order to make ends meet. However, Kotarou is forced to remain on the run when he finds himself being hunted down by assassins sent by China's Ming Dynasty for mysterious reasons not involving his petty crimes. 

Fortunately, the duo run into Nanashi, a ronin who has taken refuge in a small temple, when Kotarou is attacked and Tobimaru poisoned. Although the samurai  saves the helpless pair from their pursuers, he feels that there is no need to help them further; but when offered a gem in exchange for his services as a bodyguard, he reluctantly accepts Kotarou's offer of employment—just until Tobimaru is healed and the two reach their destination. As the three set out on a perilous journey, it soon becomes evident that their path is riddled with danger, as the Ming Dynasty has now sent a terrifying swordsman after them to capture Kotarou and fulfill a certain prophecy.

[Written by MAL Rewrite]"
Toradora!,TV,25,Finished Airing,2008-10-2,2009-3-26,Fall,Thursdays at 01:20 (JST),"Genco,Starchild Records,Magic Capsule,Yomiuri Advertising,TV Tokyo Music","NIS America, Inc.",J.C.Staff,Light novel,"Slice of Life,Comedy,Romance,School",24 min. per ep.,PG-13,8.4,549537,896003,34946,"Ryuuji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student, who is anything but a cute and fragile girl. Equipped with a wooden katana and feisty personality, Taiga is known throughout the school as the ""Palmtop Tiger.""

One day, an embarrassing mistake causes the two students to cross paths. Ryuuji discovers that Taiga actually has a sweet side: she has a crush on the popular vice president, Yuusaku Kitamura, who happens to be his best friend. But things only get crazier when Ryuuji reveals that he has a crush on Minori Kushieda—Taiga's best friend!

Toradora! is a romantic comedy that follows this odd duo as they embark on a quest to help each other with their respective crushes, forming an unlikely alliance in the process.

[Written by MAL Rewrite]"
Tsubasa: Tokyo Revelations,OVA,3,Finished Airing,2007-11-16,2008-3-17,-,-,Kodansha,Funimation,Production I.G,Manga,"Action,Adventure,Drama,Romance,Fantasy,Shounen",30 min. per ep.,R,8.4,35216,66786,827,"Continuing their journey from Record Country (the place that held the book of memories), Syaoran and company land into Tokyo Country, a blood-filled country under war from opposing factions for natural resources and survival. While reluctantly involved in the race to live, the group faces their own problems as certain revelations are made, changing their journey forever.

A shocking betrayal and a battle that risks all of their lives. After this revelation, they will never be the same again."
Hunter x Hunter OVA,OVA,8,Finished Airing,2002-1-17,2002-4-17,-,-,-,-,Nippon Animation,Manga,"Action,Adventure,Shounen,Super Power",24 min. per ep.,PG-13,8.39,39528,67143,266,"After reuniting with Gon and his friends, Kurapika explained to them the risks he bears because of his abilities. Believing that his target of revenge is no longer alive and the search for his fallen comrade's eyes could truly begin, Kurapika soon after receives a message informing him that all the Spiders still lived. After much discussion between his friends, Gon, Kurapika and company decided to hunt after the one Spider member who's ability could ultimately result in Kurapika's defeat and death. Based on the manga by Togashi Yoshihiro."
Kono Sekai no Katasumi ni,Movie,1,Finished Airing,2016-11-12,-,-,-,"Genco,Animatsu Entertainment",Shout! Factory,MAPPA,Manga,"Historical,Drama,Seinen",2 hr. 6 min.,PG-13,8.39,13543,47636,274,"In 1944, Suzu Urano moves to the small town of Kure in Hiroshima where she marries Shuusaku Houjou—a young clerk who works at the local naval base. Living with his family, Suzu becomes essential to the running of the household and creatively prepares meals during the tough wartime conditions while also carrying out daily housework. In 1945, intense bombings by the U.S. military finally reach Kure with devastating effect to the townsfolk and their way of life. Suzu's life is changed irrevocably, but through perseverance and courage, she manages to continue to live life to the fullest.

(Source: Animatsu Entertainment)"
Nanatsu no Taizai: Imashime no Fukkatsu,TV,24,Currently Airing,2018-1-13,-,Winter,Saturdays at 06:30 (JST),"Aniplex,Dentsu,Kodansha,Movic,Sammy",-,A-1 Pictures,Manga,"Action,Adventure,Supernatural,Magic,Fantasy,Shounen",24 min. per ep.,PG-13,8.39,38440,195000,1333,The new season in the Nanatsu no Taizai series.
Hunter x Hunter: Greed Island Final,OVA,14,Finished Airing,2004-3-3,2004-8-18,-,-,-,-,Nippon Animation,Manga,"Action,Adventure,Shounen,Super Power",24 min. per ep.,PG-13,8.38,42914,71267,194,"Continuing with their adventure at Greed Island, Gon and Killua train furiously under the guidance of Biscuit for better preparation at attempting the game. With their abilities vastly improving and the threat of player killers menacing Greed Island, Gon and company continue the game despite the dangers that they will face with the game activities and encounters with other players. Based on the manga by Togashi Yoshihiro."
Major S1,TV,26,Finished Airing,2004-11-13,2005-5-21,Fall,Saturdays at 18:00 (JST),"Shogakukan Productions,NHK",-,Studio Hibari,Manga,"Comedy,Sports,Drama,Shounen",25 min. per ep.,PG-13,8.38,28492,53242,896,"Gorou Honda, a little boy obsessed with baseball, has always admired his father, Shigeharu. Wishing to follow in his father's footsteps, Gorou dreams of becoming a professional baseball player. In turn, his son's starry-eyed admiration encourages Shigeharu to keep persevering, despite his late wife's death and his unsatisfying position on the second-string team Blue Ocean.

Unfortunately, an elbow injury forces Shigeharu off the team, and he falls into despair. However, after an offhand joke from his childhood friend, Shigeharu reevaluates his choices and decides to keep playing, leaving behind his prime position as pitcher and taking up the bat. Now motivated more than ever, Gorou works hard to carve his way in the Japanese Little League. But just as things are starting to look good for the Hondas, a tragic accident stops a proud father from witnessing his determined son achieve his dreams.

[Written by MAL Rewrite]"
Natsume Yuujinchou Go Specials,Special,2,Finished Airing,2017-3-22,2017-4-26,-,-,-,-,Shuka,Manga,"Slice of Life,Supernatural,Drama,Fantasy,Shoujo",23 min. per ep.,PG-13,8.39,6406,15838,31,Two special episodes bundled in the fourth and fifth volume of the Blu-ray/DVD.
